Species,Brain,Body,Gestation,Litter
Aardvark,9.6,2.2,31,5.0
Acouchis,9.9,0.78,98,1.2
African elephant,4480.0,2800.0,655,1.0
Agoutis,20.3,2.8,104,1.3
Axis deer,219.0,89.0,218,1.0
Badger,53.0,6.0,60,2.2
Barbary sheep,210.0,66.0,158,1.2
Barking deer,124.0,16.0,183,1.1
Bat-eared fox,28.5,3.2,65,4.0
Beaked whale,500.0,250.0,240,1.8
Beaver,45.0,25.0,128,4.0
Black buck antelope,200.0,39.0,180,1.0
Bush baby,9.9,0.7,135,1.0
Canadian beaver,40.0,20.0,128,2.9
Capybara,76.0,30.0,123,3.0
Caribou,288.0,110.0,225,1.0
Cattle,456.0,520.0,280,1.0
Chimpanzee,360.0,45.0,230,1.0
Chinchilla,5.25,0.43,110,2.0
Deer mouse I,0.68,0.027,23,3.7
Deer mouse II,0.63,0.026,23,5.0
Deer mouse III,0.52,0.017,24,5.0
Deer mouse IV,0.69,0.024,24,5.0
Dog,70.2,8.5,63,4.0
Dolphin,1600.0,160.0,360,1.0
Domestic cat,28.4,2.5,63,4.0
Domestic goat,106.0,30.0,151,2.0
Domestic pig,180.0,190.0,115,8.0
Domestic sheep,125.0,49.0,150,2.4
Duikers,93.0,13.0,120,1.0
Eland,480.0,560.0,255,1.0
Elephant shrew I,1.14,0.049,51,1.5
Elephant shrew II,1.37,0.064,46,1.5
Elk,365.0,120.0,235,1.0
Fallow deer,223.0,80.0,240,1.0
Flying squirrel,1.89,0.052,40,3.1
Fur seal,355.0,250.0,254,1.0
Gentle lemur,7.8,0.22,145,2.0
Gorilla,406.0,140.0,265,1.0
Gray fox,37.3,3.8,63,3.7
Grizzly bear,400.0,250.0,219,2.3
Guinea pig,4.28,0.97,67,2.6
Hamadryas baboon,183.0,21.0,180,1.0
Hamster I,0.67,0.036,21,4.6
Hamster II,1.12,0.13,16,6.3
Harp seal,442.0,110.0,240,1.0
Hedgehog,3.5,0.93,34,4.6
Hippopotamus,590.0,1400.0,240,1.0
Hopping mouse,1.18,0.15,27,5.6
Horse,712.0,480.0,330,1.0
House mouse,0.45,0.024,19,5.0
Howler monkey,54.0,7.7,139,1.0
Human being,1300.0,65.0,270,1.0
Hyrax,20.5,3.8,225,2.4
Jack rabbit,13.3,2.9,41,2.5
Kinkajou,31.2,2.0,77,1.1
Leaf monkey,65.5,5.8,168,1.0
Lemur,22.0,2.1,135,1.0
Leopard,157.0,46.0,92,2.5
Lion,260.0,180.0,108,3.0
Llama,225.0,93.0,330,1.0
Long-nose armadillo,12.0,3.7,120,4.0
Lynx,75.0,12.0,60,2.5
Nutria,23.0,5.0,132,5.5
Orangutan,343.0,37.0,270,1.0
Porcupine I,37.0,11.0,112,1.2
Porcupine II,37.0,14.0,112,1.2
Porcupine III,24.0,6.6,113,1.0
Porpoise,537.0,56.0,270,1.0
Pygmy gerbil,1.04,0.065,21,4.0
Pygmy hippopotamus,260.0,150.0,205,1.0
Quokka,17.5,3.5,26,1.0
Raccoon,41.6,5.3,63,3.5
Rat I,0.72,0.05,23,7.3
Rat II,2.38,0.34,21,8.0
Red deer,435.0,200.0,255,1.0
Red fox,48.0,6.0,52,4.0
Rhesus monkey I,84.6,6.0,175,1.0
Rhesus monkey II,107.0,8.7,165,1.1
Ring-tail monkey,73.0,3.7,180,1.0
Sambar,383.0,120.0,246,1.1
Sea lion,363.0,100.0,343,1.0
Slow loris,12.8,1.2,90,1.2
Spider monkey I,114.0,9.1,140,1.0
Spider monkey II,109.0,7.7,140,1.0
Tapir,250.0,230.0,390,1.0
Tiger,302.0,210.0,104,3.0
Tree shrew,3.15,0.15,46,3.0
Tree squirrel,6.23,0.33,38,3.0
Vervet guenon,67.0,4.6,195,1.0
Vicuna,198.0,45.0,300,1.1
Weddell seal,550.0,400.0,310,1.0
Western baboon,179.0,32.0,180,1.0
White-handed gibbon,102.0,5.5,210,1.0
Wild boar,185.0,150.0,120,4.0
Yak,334.0,250.0,255,1.0
